Phylum;Class;Order;Family;Genus;strain;name;short;conc;TPEN_conc;AUCsmean;sdAUC;maxODmean;sdmax;finalODmean;sdfinal
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;5019;Segatella copri;S. copri;80 µM;80;0,77660936829633787;0,220679208578829722;0,782151943085336199;0,197835498237235230;0,782151943085336199;0,197835498237235230
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;5019;Segatella copri;S. copri;90 µM;90;0,00936594117447046;0,007503394323137819;0,014825057137360117;0,021899089191042040;0,005139256807559238;0,007502065818496329
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;5019;Segatella copri;S. copri;100 µM;100;0,00473418125036116;0,002997746719724867;0,010134622249037351;0,020622467508167212;0,000762298918919143;0,003304798544916616
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;5019;Segatella copri;S. copri;110 µM;110;0,00431058891083498;0,003137052659461489;0,008608280996215231;0,020571471723375742;0,000613790559068722;0,002386844149007563
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;5019;Segatella copri;S. copri;120 µM;120;0,00426265317732347;0,003939392015477300;0,008751768033946254;0,020608026509311751;-0,000451722961991176;0,004815081566397104
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;5019;Segatella copri;S. copri;130 µM;130;0,00509676395168912;0,002453395749693630;0,008636695373916370;0,017480331987793630;0,001529649019926265;0,003190088276511168
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;5019;Segatella copri;S. copri;140 µM;140;0,00536039512605588;0,003337433607694651;0,009719195242233905;0,017911434593023492;0,002972251868776051;0,002805562549675516
Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;HM04;Enterococcus faecalis;E. faecalis;blank;blank;0,00459011689977942;0,006694041886950513;0,005456302417272102;0,014585652554675020;0,002783025347554353;0,015710896948784133
Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;HM04;Enterococcus faecalis;E. faecalis;0 µM;0;1,00000000000000000;0,000000000000000000;1,000699744958217119;0,017026161711337345;0,999881246902149967;0,016841675476511206
Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;HM04;Enterococcus faecalis;E. faecalis;54 µM;54;0,99245806244070689;0,027012627324378400;0,995309752384574198;0,031670400184921413;0,993877380786456821;0,031863245381769281
